datetime,city,pm25,temperature,humidity,wind_speed,precipitation,industrial_index
2023-01-03 23:00:00,CityA,71.60305539329049,16.07,77.8,4.04,0.044,1.066
2023-01-04 00:00:00,CityA,84.63506732466755,18.1,70.9,3.68,0.08,1.014
2023-01-04 01:00:00,CityA,94.028499602429,15.33,61.2,2.23,0.003,1.129
2023-01-04 02:00:00,CityA,79.56341485219302,13.07,72.8,3.56,0.05,0.648
2023-01-04 03:00:00,CityA,72.56124514360418,14.73,65.7,0.33,0.153,1.326
2023-01-04 04:00:00,CityA,90.77039307456741,11.59,,2.88,0.068,0.993
2023-01-04 05:00:00,CityA,77.38253271435819,12.12,54.2,2.42,0.014,1.073
2023-01-04 06:00:00,CityA,71.51159060679433,13.97,41.5,2.44,0.11,1.191
2023-01-04 07:00:00,CityA,65.19988071787228,14.05,38.3,1.94,0.009,0.979
2023-01-04 08:00:00,CityA,79.84974547795184,13.89,30.4,4.46,0.004,1.007
2023-01-04 09:00:00,CityA,62.738303587911325,17.41,42.7,1.88,0.138,0.894
2023-01-04 10:00:00,CityA,89.36076550294378,14.45,14.3,0.98,0.062,1.273
2023-01-04 11:00:00,CityA,66.68577219774521,13.02,30.9,3.47,0.076,0.974
2023-01-04 12:00:00,CityA,62.83824950754517,11.79,31.6,1.74,0.002,0.716
2023-01-04 13:00:00,CityA,86.5427367059418,13.69,24.5,2.15,0.221,1.337
2023-01-04 14:00:00,CityA,64.26522714586619,14.98,44.5,2.58,0.088,0.828
2023-01-04 15:00:00,CityA,90.95508821957382,18.16,32.8,1.83,0.045,1.185
2023-01-04 16:00:00,CityA,64.98510845268412,12.2,44.5,1.85,0.021,0.903
2023-01-04 17:00:00,CityA,62.20231088372414,13.91,24.8,3.18,0.404,0.952
2023-01-04 18:00:00,CityA,79.15489425349485,13.85,56.0,3.0,0.265,0.804
2023-01-04 19:00:00,CityA,49.53417769922832,18.24,62.6,1.74,0.021,0.847
2023-01-04 20:00:00,CityA,57.83703145463156,11.74,60.4,2.76,0.034,0.819
2023-01-04 21:00:00,CityA,69.39071042077583,15.54,86.4,0.89,0.005,0.828
2023-01-04 22:00:00,CityA,67.5140692739824,17.01,62.7,3.34,0.143,0.774
2023-01-04 23:00:00,CityA,71.99499169104521,19.87,55.2,1.47,0.265,1.074
2023-01-05 00:00:00,CityA,75.28138720898208,15.17,68.8,3.67,0.015,1.051
2023-01-05 01:00:00,CityA,94.2077644153118,16.18,66.8,2.18,0.169,1.058
2023-01-05 02:00:00,CityA,71.58079601636697,16.74,64.7,3.7,0.058,0.918
2023-01-05 03:00:00,CityA,79.22572372777215,10.54,72.6,,0.07,1.065
2023-01-05 04:00:00,CityA,87.80617726681437,16.66,42.3,2.74,0.012,1.154
2023-01-05 05:00:00,CityA,100.91103323444116,16.14,48.2,2.1,0.158,1.127
2023-01-05 06:00:00,CityA,79.18264018678657,15.36,52.0,2.04,0.029,0.83
2023-01-05 07:00:00,CityA,60.8327322394197,15.8,42.0,3.33,0.172,0.946
2023-01-05 08:00:00,CityA,78.77108999930698,14.11,43.0,3.26,0.127,0.816
2023-01-05 09:00:00,CityA,80.51764158777183,17.02,22.8,2.78,0.042,0.644
2023-01-05 10:00:00,CityA,67.29614999933597,,32.2,2.78,0.07,0.775
2023-01-05 11:00:00,CityA,68.99941392548013,15.09,44.9,3.09,0.256,0.842
2023-01-05 12:00:00,CityA,64.24522266485509,18.76,40.8,4.09,0.272,0.898
2023-01-05 13:00:00,CityA,65.42218353084169,16.56,51.0,3.02,0.051,0.968
2023-01-05 14:00:00,CityA,88.06864234244188,12.98,19.4,3.32,0.043,1.015
2023-01-05 15:00:00,CityA,73.22121002038494,13.36,23.8,2.24,0.06,0.951
2023-01-05 16:00:00,CityA,68.96232016427884,9.61,39.6,2.27,0.087,1.139
2023-01-05 17:00:00,CityA,73.50609596465658,16.03,38.4,2.34,0.577,1.515
2023-01-05 18:00:00,CityA,90.89704595700222,15.03,49.8,2.7,0.023,0.971
2023-01-05 19:00:00,CityA,56.018991122591615,12.79,66.3,,0.058,1.249
2023-01-05 20:00:00,CityA,62.7892079103313,14.31,57.0,1.09,0.103,0.844
2023-01-05 21:00:00,CityA,71.50922271277986,14.86,68.0,1.73,0.108,1.144
2023-01-05 22:00:00,CityA,88.38754091321101,13.95,71.2,1.28,0.01,1.143
2023-01-05 23:00:00,CityA,80.12709615419783,13.12,71.2,2.75,0.051,0.784
2023-01-06 00:00:00,CityA,63.79065621296546,16.19,67.5,2.83,0.055,0.75
2023-01-06 01:00:00,CityA,86.97688474183097,13.37,79.8,0.75,0.031,0.744
2023-01-06 02:00:00,CityA,84.22230471615816,10.84,80.9,2.71,0.144,0.981
2023-01-06 03:00:00,CityA,68.33005352610323,14.94,61.5,3.85,0.002,1.062
2023-01-06 04:00:00,CityA,63.732045161641544,12.3,65.9,2.67,0.416,0.963
2023-01-06 05:00:00,CityA,90.86445850392347,15.2,42.1,3.05,0.081,1.206
2023-01-06 06:00:00,CityA,71.45006975905532,15.51,57.9,4.17,0.019,1.203
2023-01-06 07:00:00,CityA,66.79555511198353,16.61,47.9,0.13,0.005,1.104
2023-01-06 08:00:00,CityA,79.34331782910907,15.37,34.0,1.89,0.034,0.719
2023-01-06 09:00:00,CityA,76.21431555291355,13.23,40.4,0.75,0.065,1.099
2023-01-06 10:00:00,CityA,60.22729158271983,13.28,38.3,1.92,0.069,1.024
2023-01-06 11:00:00,CityA,88.55552758881433,16.97,27.9,2.74,0.008,0.993
2023-01-06 12:00:00,CityA,59.629486987342915,13.75,44.5,3.21,0.161,0.888
2023-01-06 13:00:00,CityA,81.49854314427978,16.86,16.6,3.64,0.01,0.985
2023-01-06 14:00:00,CityA,86.48273905668123,15.36,22.0,2.88,0.164,1.122
2023-01-06 15:00:00,CityA,75.82478698779899,17.12,32.2,3.13,0.067,1.086
2023-01-06 16:00:00,CityA,83.66352678222762,15.54,29.8,1.42,0.258,1.211
2023-01-06 17:00:00,CityA,66.88328866708132,14.84,41.1,3.39,0.177,1.019
2023-01-06 18:00:00,CityA,67.65293694010956,14.13,47.5,2.72,0.042,0.904
2023-01-06 19:00:00,CityA,58.697228088590165,15.27,58.5,0.57,0.156,1.206
2023-01-06 20:00:00,CityA,76.65385046763191,,67.1,2.58,0.28,1.213
2023-01-06 21:00:00,CityA,90.31399087707774,13.63,60.1,0.02,0.099,0.911
2023-01-06 22:00:00,CityA,69.22887961546039,18.16,63.1,2.08,0.044,0.944
2023-01-06 23:00:00,CityA,83.49141157735332,12.9,53.8,1.29,0.114,1.197
2023-01-07 00:00:00,CityA,81.31613942576902,14.9,75.4,1.38,0.473,1.076
2023-01-07 01:00:00,CityA,73.22924059685917,18.24,56.8,2.57,0.019,0.875
2023-01-07 02:00:00,CityA,77.25984847730615,13.73,76.8,3.92,0.119,0.886
2023-01-07 03:00:00,CityA,100.58254603909079,14.25,58.5,1.8,0.077,1.31
2023-01-07 04:00:00,CityA,75.12884395911989,13.77,56.9,2.79,0.106,1.067
2023-01-07 05:00:00,CityA,98.6136336251184,15.21,41.2,,0.03,0.993
2023-01-07 06:00:00,CityA,84.23470276455281,13.96,51.8,2.48,0.066,1.238
2023-01-07 07:00:00,CityA,67.6671968385547,15.69,55.4,1.37,0.083,1.117
2023-01-07 08:00:00,CityA,78.8168450875948,16.18,48.9,3.32,0.12,1.101
2023-01-07 09:00:00,CityA,70.70345473679363,18.06,30.7,2.98,0.213,0.967
2023-01-07 10:00:00,CityA,68.68761634205624,17.41,26.1,2.87,0.178,0.921
2023-01-07 11:00:00,CityA,68.46936911250718,15.01,37.2,1.01,0.397,0.728
2023-01-07 12:00:00,CityA,73.89617471035676,16.29,47.3,2.19,0.143,1.044
2023-01-07 13:00:00,CityA,68.7250795141977,15.1,40.4,1.06,0.269,0.911
2023-01-07 14:00:00,CityA,68.19225385856967,17.15,24.5,2.63,0.042,0.86
2023-01-07 15:00:00,CityA,78.38331446152618,15.26,38.8,1.97,0.002,1.313
2023-01-07 16:00:00,CityA,67.73285458159637,13.89,55.0,1.05,0.018,0.56
2023-01-07 17:00:00,CityA,70.48962215060862,16.97,53.8,3.81,0.032,1.13
2023-01-07 18:00:00,CityA,69.14370504197359,18.69,41.4,0.97,0.413,0.862
2023-01-07 19:00:00,CityA,78.50265450362683,14.59,49.5,1.83,0.003,0.75
2023-01-07 20:00:00,CityA,70.46031437315828,14.84,68.9,2.84,0.147,1.091
2023-01-07 21:00:00,CityA,87.6016478024466,16.22,56.6,2.82,0.003,1.039
2023-01-07 22:00:00,CityA,77.72009334934103,14.82,78.8,1.82,0.022,1.36
2023-01-07 23:00:00,CityA,62.61855529103915,14.97,56.6,3.06,0.16,0.911
2023-01-08 00:00:00,CityA,87.34524254969745,14.1,50.6,0.92,0.119,1.152
2023-01-08 01:00:00,CityA,69.43885535870723,15.96,69.1,1.93,0.011,0.999
2023-01-08 02:00:00,CityA,69.2826243571643,18.01,74.3,2.28,0.04,1.005
2023-01-08 03:00:00,CityA,74.77903577069382,15.08,62.0,2.41,0.008,0.8
2023-01-08 04:00:00,CityA,82.34906559057534,18.6,65.1,1.93,0.018,1.115
2023-01-08 05:00:00,CityA,85.09184525820827,13.4,69.7,2.86,0.205,1.179
2023-01-08 06:00:00,CityA,73.96563366117246,17.1,45.7,3.82,0.06,1.04
2023-01-08 07:00:00,CityA,64.32821220759156,19.37,41.9,,0.006,0.87
2023-01-08 08:00:00,CityA,92.77641866499172,14.36,43.4,3.02,0.108,0.885
2023-01-08 09:00:00,CityA,67.74145064747765,14.81,28.4,3.25,0.561,1.008
2023-01-08 10:00:00,CityA,73.89994987508909,16.23,24.5,2.24,0.203,0.666
2023-01-08 11:00:00,CityA,85.61639112866914,16.75,15.8,1.6,0.046,1.045
2023-01-08 12:00:00,CityA,57.35263282720143,18.37,26.3,3.58,0.231,0.992
2023-01-08 13:00:00,CityA,90.33345319675203,13.85,37.1,2.68,0.024,1.295
2023-01-08 14:00:00,CityA,77.86830194371282,13.75,35.8,2.99,0.02,1.052
2023-01-08 15:00:00,CityA,53.67686783030179,14.42,22.7,2.45,0.205,1.154
2023-01-08 16:00:00,CityA,71.68285685659357,17.3,26.1,2.14,0.349,0.776
2023-01-08 17:00:00,CityA,75.13167520550275,12.51,53.7,1.79,0.014,0.991
2023-01-08 18:00:00,CityA,75.68795214721975,15.15,39.7,3.5,0.056,0.901
2023-01-08 19:00:00,CityA,88.06069339446148,12.22,48.5,3.02,0.018,0.936
2023-01-08 20:00:00,CityA,66.00583768672806,15.76,63.4,3.53,0.023,1.048
2023-01-08 21:00:00,CityA,78.42346650892623,13.9,64.5,1.81,0.276,1.147
2023-01-08 22:00:00,CityA,66.32400428086774,15.16,51.3,3.42,0.061,1.069
2023-01-08 23:00:00,CityA,73.41387742391484,20.88,62.3,2.9,0.003,1.222
2023-01-09 00:00:00,CityA,88.29928077888212,16.23,61.6,1.88,0.203,1.383
2023-01-09 01:00:00,CityA,87.89297268430755,13.17,69.1,4.5,0.096,1.04
2023-01-09 02:00:00,CityA,65.6422371940095,17.21,76.8,3.14,0.05,0.771
2023-01-09 03:00:00,CityA,85.4643033279609,15.59,72.2,2.25,0.153,1.323
2023-01-09 04:00:00,CityA,78.61482667306298,14.51,67.7,3.69,0.165,0.754
2023-01-09 05:00:00,CityA,78.76237671495852,16.27,65.5,2.24,0.013,0.965
2023-01-09 06:00:00,CityA,58.34238255423355,12.81,38.5,4.09,0.049,0.831
2023-01-09 07:00:00,CityA,88.47601503384453,14.39,34.5,1.9,0.008,1.328
2023-01-09 08:00:00,CityA,64.30961298708714,13.62,58.0,3.48,0.073,0.935
2023-01-09 09:00:00,CityA,98.28424126330722,14.96,26.6,0.97,0.051,1.205
2023-01-09 10:00:00,CityA,68.44790675213814,17.77,37.2,3.09,0.311,1.171
2023-01-09 11:00:00,CityA,67.92138719222208,15.78,29.2,3.05,0.011,0.661
2023-01-09 12:00:00,CityA,94.48494563304783,13.02,21.2,2.68,0.037,1.278
2023-01-09 13:00:00,CityA,69.28140340267856,16.55,25.9,0.91,0.013,1.11
2023-01-09 14:00:00,CityA,87.68331729214799,15.21,22.0,1.9,0.084,1.064
2023-01-09 15:00:00,CityA,78.21207816935525,14.85,31.2,2.56,0.1,1.024
2023-01-09 16:00:00,CityA,78.38450444313914,15.1,40.3,,0.094,0.867
2023-01-09 17:00:00,CityA,77.11730203351304,14.4,42.6,3.25,0.027,0.856
2023-01-09 18:00:00,CityA,86.72003906859574,14.41,60.0,1.83,0.098,1.056
2023-01-09 19:00:00,CityA,65.67989237710624,12.52,59.4,1.77,0.199,0.963
2023-01-09 20:00:00,CityA,88.60298870271744,15.09,58.8,3.46,0.026,1.442
2023-01-09 21:00:00,CityA,91.53886964220496,11.63,66.7,2.5,0.015,0.839
2023-01-09 22:00:00,CityA,75.48724979016781,18.36,62.9,3.07,0.032,1.326
2023-01-09 23:00:00,CityA,68.20934224448143,13.58,64.6,2.3,0.073,1.047
2023-01-10 00:00:00,CityA,83.79411132491936,15.66,76.7,0.51,0.04,1.075
2023-01-10 01:00:00,CityA,80.32532862323525,18.89,67.2,4.23,0.006,1.112
2023-01-10 02:00:00,CityA,88.0858889816339,16.08,60.0,2.67,0.01,0.717
2023-01-10 03:00:00,CityA,69.57323632964908,14.39,74.7,1.29,0.159,0.782
2023-01-10 04:00:00,CityA,76.80698650383702,17.43,61.1,4.82,0.009,1.079
2023-01-10 05:00:00,CityA,65.54395576338577,15.72,59.2,3.08,0.123,0.843
2023-01-10 06:00:00,CityA,69.69515862702544,11.33,54.1,1.4,0.092,0.569
2023-01-10 07:00:00,CityA,68.25472456178805,15.06,46.8,2.5,0.191,1.016
2023-01-10 08:00:00,CityA,67.34922209986418,16.84,37.7,2.77,0.156,1.064
2023-01-10 09:00:00,CityA,74.29428950747378,14.53,26.4,2.15,0.119,1.006
2023-01-10 10:00:00,CityA,69.06806879641935,17.17,36.5,2.47,0.093,1.164
2023-01-10 11:00:00,CityA,74.63192625668542,16.06,10.5,2.56,0.016,0.878
2023-01-10 12:00:00,CityA,52.34315917903554,15.11,34.2,2.43,0.037,1.097
2023-01-10 13:00:00,CityA,89.18852079233703,15.59,32.9,1.71,0.024,1.306
2023-01-10 14:00:00,CityA,60.18520402742123,14.57,44.6,2.65,0.412,0.933
2023-01-10 15:00:00,CityA,74.82237313314636,14.18,32.9,1.79,0.011,0.922
2023-01-10 16:00:00,CityA,80.7320567237596,15.32,40.0,2.94,0.037,1.238
2023-01-10 17:00:00,CityA,61.41507043047337,19.58,36.5,2.29,0.218,0.727
2023-01-10 18:00:00,CityA,75.40046319018622,12.66,35.6,3.04,0.147,1.152
2023-01-10 19:00:00,CityA,71.65212891782888,14.65,52.0,2.48,0.03,0.891
2023-01-10 20:00:00,CityA,56.603741102628426,12.04,61.5,2.48,0.012,1.116
2023-01-10 21:00:00,CityA,92.66287205988664,19.12,54.6,2.46,0.039,0.965
2023-01-10 22:00:00,CityA,88.51229053683849,12.26,54.4,3.97,0.223,0.958
2023-01-10 23:00:00,CityA,82.9954576605035,12.76,56.5,2.09,0.184,1.431
2023-01-11 00:00:00,CityA,73.95979217200347,16.48,72.4,3.8,0.007,1.312
2023-01-11 01:00:00,CityA,77.4698272896413,15.13,70.0,4.22,0.114,0.927
2023-01-11 02:00:00,CityA,74.92895204270123,12.31,59.5,3.7,0.108,0.869
2023-01-11 03:00:00,CityA,75.57416160272012,14.13,66.4,1.79,0.145,1.199
2023-01-11 04:00:00,CityA,82.92290445604492,12.16,72.0,2.18,0.095,0.95
2023-01-11 05:00:00,CityA,81.44766643560304,17.45,50.5,2.54,0.346,0.871
2023-01-11 06:00:00,CityA,63.039412419934855,15.11,52.1,4.03,0.167,1.102
2023-01-11 07:00:00,CityA,51.085953400635006,15.72,49.3,2.29,0.025,0.791
2023-01-11 08:00:00,CityA,57.70044800582275,19.11,31.2,2.28,0.218,0.945
2023-01-11 09:00:00,CityA,71.28918946090579,16.83,38.3,2.77,0.187,0.967
2023-01-11 10:00:00,CityA,64.27921121926326,14.5,45.5,2.99,0.15,1.147
2023-01-11 11:00:00,CityA,65.83350588205043,16.01,33.3,2.53,0.277,1.08
2023-01-11 12:00:00,CityA,91.1586708217317,13.94,34.7,3.74,0.132,1.004
2023-01-11 13:00:00,CityA,81.45631368580547,17.15,15.5,2.58,0.083,1.151
2023-01-11 14:00:00,CityA,74.5024204824791,17.58,38.1,2.36,0.001,0.755
2023-01-11 15:00:00,CityA,81.69827534538568,13.15,46.2,2.08,0.023,1.334
2023-01-11 16:00:00,CityA,58.597736877172046,12.61,43.6,3.7,0.081,0.878
2023-01-11 17:00:00,CityA,73.73989105497768,12.79,41.2,1.68,0.209,1.345
2023-01-11 18:00:00,CityA,70.57349131792708,15.45,57.5,1.08,0.119,0.648
2023-01-11 19:00:00,CityA,68.84377561962307,13.85,56.6,1.66,0.066,0.887
2023-01-11 20:00:00,CityA,61.994412188522425,18.08,76.0,4.56,0.113,1.242
2023-01-11 21:00:00,CityA,75.18819952192163,16.66,64.1,3.81,0.008,0.966
2023-01-11 22:00:00,CityA,78.44748632733337,16.39,75.0,2.59,0.058,1.296
2023-01-11 23:00:00,CityA,91.66767471298628,13.23,62.6,2.36,0.025,1.303
2023-01-12 00:00:00,CityA,88.33095394903671,12.95,84.8,3.72,0.013,1.116
2023-01-12 01:00:00,CityA,65.58802134403638,14.39,78.9,0.56,0.089,0.902
2023-01-12 02:00:00,CityA,89.67660904027788,15.28,53.2,2.82,0.03,0.97
2023-01-12 03:00:00,CityA,51.370460012622516,14.61,61.2,2.9,0.162,0.766
2023-01-12 04:00:00,CityA,77.26402616568224,14.94,74.2,4.16,0.145,0.909
2023-01-12 05:00:00,CityA,78.9283158002765,12.8,58.3,1.93,0.107,0.98
2023-01-12 06:00:00,CityA,71.78504391282215,13.24,43.4,,0.032,1.073
2023-01-12 07:00:00,CityA,69.7504713487198,18.14,40.6,2.49,0.006,0.515
2023-01-12 08:00:00,CityA,69.47537672160726,16.47,37.7,2.57,0.276,1.103
2023-01-12 09:00:00,CityA,59.6755841110289,13.79,42.9,1.58,0.398,1.159
2023-01-12 10:00:00,CityA,68.44486355305015,15.59,21.8,,0.094,0.993
2023-01-12 11:00:00,CityA,85.5105725849725,14.37,27.3,1.96,0.029,1.04
2023-01-12 12:00:00,CityA,81.53606399434179,,30.5,2.93,0.007,1.139
2023-01-12 13:00:00,CityA,81.12673086281714,18.62,30.0,1.67,0.066,1.087
2023-01-12 14:00:00,CityA,97.12452380160431,10.27,24.6,3.12,0.006,1.411
2023-01-12 15:00:00,CityA,63.81906374020768,15.11,30.7,2.44,0.154,0.871
2023-01-12 16:00:00,CityA,77.80630237659027,14.03,32.4,2.62,0.023,1.325
2023-01-12 17:00:00,CityA,71.40686021004531,16.02,47.4,2.47,0.148,1.177
2023-01-12 18:00:00,CityA,71.27836087449357,14.64,75.5,2.8,0.173,0.85
2023-01-12 19:00:00,CityA,86.52741867780844,13.86,40.5,2.7,0.157,1.375
2023-01-12 20:00:00,CityA,78.25319407780188,14.11,70.2,2.57,0.017,1.171
2023-01-12 21:00:00,CityA,70.16116432760089,16.31,70.8,2.07,0.237,0.933
2023-01-12 22:00:00,CityA,77.56286523834055,13.09,70.7,4.56,0.009,0.786
2023-01-12 23:00:00,CityA,76.99742740532055,15.48,73.5,2.51,0.054,0.788
2023-01-13 00:00:00,CityA,78.65637501518566,14.63,77.9,3.69,0.127,1.518
2023-01-13 01:00:00,CityA,82.55656101227623,16.19,71.5,2.8,0.078,0.799
2023-01-13 02:00:00,CityA,71.3420129830928,17.63,66.4,0.38,0.068,0.878
2023-01-13 03:00:00,CityA,71.91310636825754,16.99,68.5,1.66,0.175,0.952
2023-01-13 04:00:00,CityA,68.07469908250587,14.22,52.6,4.12,0.105,0.936
2023-01-13 05:00:00,CityA,74.23806769783168,17.49,54.4,,0.387,0.819
2023-01-13 06:00:00,CityA,67.67882846989556,12.64,59.5,2.04,0.019,1.04
2023-01-13 07:00:00,CityA,86.84462033797664,16.05,40.8,3.28,0.103,1.025
2023-01-13 08:00:00,CityA,78.44085556450464,13.0,34.6,3.01,0.205,1.036
2023-01-13 09:00:00,CityA,89.11702282618754,16.33,26.2,3.33,0.238,1.135
2023-01-13 10:00:00,CityA,76.68036553450384,14.73,24.9,3.61,0.079,0.976
2023-01-13 11:00:00,CityA,78.07763737617819,14.87,29.2,1.56,0.004,1.066
2023-01-13 12:00:00,CityA,79.11863013829883,16.42,26.5,3.01,0.14,0.948
2023-01-13 13:00:00,CityA,90.37205379454821,13.95,36.0,2.11,0.012,1.073
2023-01-13 14:00:00,CityA,60.93043665648237,14.55,29.9,2.48,0.036,0.939
2023-01-13 15:00:00,CityA,88.59608597923467,16.56,44.3,1.64,0.005,1.19
2023-01-13 16:00:00,CityA,80.4323589028515,14.79,38.6,2.57,0.007,1.232
2023-01-13 17:00:00,CityA,76.50994861783363,17.33,46.9,3.14,0.177,1.038
2023-01-13 18:00:00,CityA,70.93607777441353,9.59,55.4,1.85,0.149,0.634
2023-01-13 19:00:00,CityA,76.81081475270094,15.46,72.0,1.39,0.1,1.328
2023-01-13 20:00:00,CityA,70.97584902082077,15.15,47.2,2.25,0.067,0.831
2023-01-13 21:00:00,CityA,76.0478157076832,15.29,76.0,3.11,0.071,0.875
